customer_ID,first_name,last_name,email,question_1,question_2,question_3,question_4,question_5,asdfasedf\,similarity,,,
1000057,Joseph,Young,joseph.young1000057@example.com,"Team Sports, Cycling, Running",0–1 days,Mid-Morning,Medium,"Build Strength, Social, Reduce Stress",,,,,
1000058,Lucas,Torres,lucas.torres1000058@example.com,"Jogging, Weight Training, Hiking",0–1 days,Mid-Morning,High,"Training, Social, Improve Health",,,,,
1000059,Carter,Nelson,carter.nelson1000059@example.com,"Pilates, Running, Weight Training",0–1 days,Mid-Morning,High,"Social, Weight Loss, Training",,,,,
1000060,Camila,Johnson,camila.johnson1000060@example.com,"Weight Training, Cycling, Swimming",0–1 days,Lunch,Low,"Social, Build Strength, Training",,,,,
1000061,Amelia,Torres,amelia.torres1000061@example.com,"Team Sports, Weight Training, Group Fitness Class",0–1 days,Mid-Morning,High,"Build Strength, Reduce Stress, Improve Health",,,,,
1000062,Michael,Young,michael.young1000062@example.com,"Jogging, Pilates, Team Sports",4–5 days,Early Morning,Low,"Social, Improve Health, Reduce Stress",,,,,
1000063,Henry,Smith,henry.smith1000063@example.com,"Weight Training, Pilates, Jogging",0–1 days,Lunch,Low,"Improve Health, Build Strength, Weight Loss",,,,,
1000064,Carter,King,carter.king1000064@example.com,"Team Sports, Weight Training, Pilates",4–5 days,Early Morning,Medium,"Build Strength, Improve Health, Training",,,,,
1000065,Logan,Roberts,logan.roberts1000065@example.com,"Swimming, Cycling, Hiking",0–1 days,Lunch,Low,"Training, Social, Weight Loss",,,,,
1000066,Liam,Torres,liam.torres1000066@example.com,"Weight Training, Swimming, Group Fitness Class",0–1 days,Lunch,Low,"Reduce Stress, Build Strength, Improve Health",,,,,
1000067,Logan,Hernandez,logan.hernandez1000067@example.com,"Running, Weight Training, Group Fitness Class",0–1 days,Early Morning,Low,"Weight Loss, Training, Social",,,,,
1000068,Daniel,Hill,daniel.hill1000068@example.com,"Pilates, Weight Training, Hiking",0–1 days,Lunch,Low,"Improve Health, Build Strength, Social",,,,,
1000069,Michael,Lee,michael.lee1000069@example.com,"Walking, Running, Swimming",4–5 days,Lunch,High,"Weight Loss, Improve Health, Training",,,,,
1000070,Emma,Lopez,emma.lopez1000070@example.com,"Pilates, Cycling, Swimming",4–5 days,Early Morning,Low,"Improve Health, Training, Social",,,,,
1000071,Daniel,Mitchell,daniel.mitchell1000071@example.com,"Jogging, Pilates, Swimming",0–1 days,Lunch,Low,"Social, Weight Loss, Build Strength",,,,,
1000072,Penelope,Johnson,penelope.johnson1000072@example.com,"Jogging, Team Sports, Yoga",4–5 days,Mid-Morning,Medium,"Weight Loss, Build Strength, Social",,,,,
1000073,Aria,Lewis,aria.lewis1000073@example.com,"Group Fitness Class, Running, Walking",2–3 days,Mid-Morning,Low,"Build Strength, Weight Loss, Training",,,,,
1000074,Benjamin,Green,benjamin.green1000074@example.com,"Weight Training, Running, Jogging",2–3 days,Early Morning,High,"Social, Weight Loss, Reduce Stress",,,,,
1000075,Penelope,Martin,penelope.martin1000075@example.com,"Weight Training, Running, Jogging",2–3 days,Early Morning,Medium,"Weight Loss, Improve Health, Reduce Stress",,,,,
1000076,Sebastian,Williams,sebastian.williams1000076@example.com,"Cycling, Walking, Team Sports",4–5 days,Mid-Morning,High,"Reduce Stress, Improve Health, Social",,,,,
1000077,Elizabeth,Johnson,elizabeth.johnson1000077@example.com,"Jogging, Yoga, Pilates",4–5 days,Lunch,High,"Improve Health, Social, Reduce Stress",,,,,
1000078,Camila,Thomas,camila.thomas1000078@example.com,"Group Fitness Class, Yoga, Swimming",4–5 days,Mid-Morning,High,"Improve Health, Reduce Stress, Social",,,,,
1000079,Charlotte,Jones,charlotte.jones1000079@example.com,"Weight Training, Hiking, Walking",2–3 days,Lunch,High,"Training, Build Strength, Weight Loss",,,,,
1000080,Jackson,Carter,jackson.carter1000080@example.com,"Walking, Group Fitness Class, Swimming",4–5 days,Early Morning,Medium,"Build Strength, Training, Social",,,,,
1000081,Sophia,White,sophia.white1000081@example.com,"Yoga, Weight Training, Group Fitness Class",2–3 days,Early Morning,Low,"Training, Build Strength, Improve Health",,,,,
1000082,Luna,Wilson,luna.wilson1000082@example.com,"Walking, Hiking, Yoga",4–5 days,Lunch,Low,"Social, Training, Weight Loss",,,,,
1000083,Aria,White,aria.white1000083@example.com,"Hiking, Team Sports, Jogging",0–1 days,Lunch,Low,"Build Strength, Weight Loss, Reduce Stress",,,,,
1000084,Wyatt,Anderson,wyatt.anderson1000084@example.com,"Cycling, Pilates, Group Fitness Class",0–1 days,Mid-Morning,Low,"Build Strength, Improve Health, Training",,,,,
1000085,Elizabeth,Johnson,elizabeth.johnson1000085@example.com,"Team Sports, Walking, Weight Training",2–3 days,Lunch,Medium,"Training, Reduce Stress, Social",,,,,
1000086,Benjamin,Sanchez,benjamin.sanchez1000086@example.com,"Team Sports, Hiking, Yoga",4–5 days,Lunch,Medium,"Training, Improve Health, Reduce Stress",,,,,
1000087,Logan,Lewis,logan.lewis1000087@example.com,"Team Sports, Group Fitness Class, Walking",4–5 days,Lunch,Medium,"Social, Training, Weight Loss",,,,,
1000088,Wyatt,King,wyatt.king1000088@example.com,"Team Sports, Running, Group Fitness Class",0–1 days,Lunch,Medium,"Training, Weight Loss, Reduce Stress",,,,,
1000089,Scarlett,Harris,scarlett.harris1000089@example.com,"Swimming, Pilates, Walking",0–1 days,Mid-Morning,Medium,"Reduce Stress, Weight Loss, Social",,,,,
1000090,Jacob,Harris,jacob.harris1000090@example.com,"Jogging, Yoga, Group Fitness Class",4–5 days,Lunch,Low,"Social, Improve Health, Build Strength",,,,,
1000091,Oliver,Rodriguez,oliver.rodriguez1000091@example.com,"Swimming, Walking, Group Fitness Class",0–1 days,Early Morning,Low,"Improve Health, Social, Training",,,,,
1000092,Mason,Wilson,mason.wilson1000092@example.com,"Cycling, Yoga, Hiking",2–3 days,Mid-Morning,Low,"Build Strength, Improve Health, Social",,,,,
1000093,Owen,Robinson,owen.robinson1000093@example.com,"Swimming, Yoga, Walking",0–1 days,Lunch,Medium,"Training, Weight Loss, Improve Health",,,,,
1000094,Ava,Martin,ava.martin1000094@example.com,"Cycling, Pilates, Yoga",2–3 days,Mid-Morning,Low,"Improve Health, Social, Weight Loss",,,,,
1000095,Luna,Walker,luna.walker1000095@example.com,"Swimming, Team Sports, Jogging",2–3 days,Early Morning,Low,"Improve Health, Weight Loss, Build Strength",,,,,
1000096,Benjamin,Lopez,benjamin.lopez1000096@example.com,"Weight Training, Team Sports, Pilates",2–3 days,Mid-Morning,Medium,"Build Strength, Training, Improve Health",,,,,
1000097,Chloe,Jones,chloe.jones1000097@example.com,"Walking, Jogging, Hiking",4–5 days,Mid-Morning,Medium,"Weight Loss, Improve Health, Reduce Stress",,,,,
1000098,Emily,Walker,emily.walker1000098@example.com,"Weight Training, Walking, Team Sports",4–5 days,Early Morning,Medium,"Social, Build Strength, Reduce Stress",,,,,
1000099,Luna,Carter,luna.carter1000099@example.com,"Jogging, Yoga, Cycling",4–5 days,Early Morning,Medium,"Training, Improve Health, Social",,,,,
1000100,David,Carter,david.carter1000100@example.com,"Cycling, Team Sports, Jogging",4–5 days,Early Morning,Medium,"Training, Build Strength, Improve Health",,,,,
1000101,Lucas,Clark,lucas.clark1000101@example.com,"Team Sports, Running, Weight Training",0–1 days,Mid-Morning,Low,"Social, Reduce Stress, Weight Loss",,,,,
1000102,Scarlett,King,scarlett.king1000102@example.com,"Group Fitness Class, Running, Jogging",2–3 days,Mid-Morning,High,"Improve Health, Training, Reduce Stress",,,,,
1000103,Carter,Clark,carter.clark1000103@example.com,"Yoga, Cycling, Jogging",0–1 days,Lunch,Medium,"Improve Health, Reduce Stress, Build Strength",,,,,
1000104,Mason,Williams,mason.williams1000104@example.com,"Pilates, Hiking, Swimming",0–1 days,Early Morning,High,"Improve Health, Build Strength, Reduce Stress",,,,,
1000105,Victoria,Thomas,victoria.thomas1000105@example.com,"Group Fitness Class, Walking, Hiking",2–3 days,Mid-Morning,Medium,"Weight Loss, Social, Reduce Stress",,,,,
1000106,Liam,Nguyen,liam.nguyen1000106@example.com,"Cycling, Pilates, Hiking",0–1 days,Early Morning,Medium,"Weight Loss, Reduce Stress, Build Strength",,,,,
1000107,Aiden,Martinez,aiden.martinez1000107@example.com,"Hiking, Weight Training, Yoga",2–3 days,Lunch,Low,"Build Strength, Social, Improve Health",,,,,
1000108,David,Thomas,david.thomas1000108@example.com,"Group Fitness Class, Yoga, Weight Training",2–3 days,Early Morning,Medium,"Social, Weight Loss, Build Strength",,,,,
1000109,Sofia,Perez,sofia.perez1000109@example.com,"Group Fitness Class, Cycling, Hiking",2–3 days,Mid-Morning,Low,"Improve Health, Social, Build Strength",,,,,
1000110,Penelope,Flores,penelope.flores1000110@example.com,"Walking, Cycling, Swimming",2–3 days,Mid-Morning,Low,"Weight Loss, Improve Health, Reduce Stress",,,,,
1000111,Charlotte,Jones,charlotte.jones1000111@example.com,"Walking, Team Sports, Pilates",0–1 days,Mid-Morning,High,"Improve Health, Weight Loss, Social",,,,,
1000112,Matthew,Jones,matthew.jones1000112@example.com,"Hiking, Cycling, Walking",0–1 days,Early Morning,High,"Build Strength, Weight Loss, Improve Health",,,,,
1000113,Sebastian,Lee,sebastian.lee1000113@example.com,"Jogging, Cycling, Group Fitness Class",0–1 days,Mid-Morning,Medium,"Social, Improve Health, Reduce Stress",,,,,
1000114,Sebastian,Carter,sebastian.carter1000114@example.com,"Pilates, Swimming, Weight Training",2–3 days,Early Morning,Low,"Training, Reduce Stress, Improve Health",,,,,
1000115,Olivia,Jones,olivia.jones1000115@example.com,"Weight Training, Jogging, Walking",0–1 days,Mid-Morning,Low,"Build Strength, Weight Loss, Social",,,,,
1000116,Noah,Johnson,noah.johnson1000116@example.com,"Cycling, Walking, Jogging",4–5 days,Early Morning,Low,"Training, Weight Loss, Reduce Stress",,,,,
1000117,Elizabeth,Carter,elizabeth.carter1000117@example.com,"Walking, Hiking, Swimming",2–3 days,Mid-Morning,High,"Reduce Stress, Training, Weight Loss",,,,,
1000118,Ava,Walker,ava.walker1000118@example.com,"Running, Team Sports, Jogging",2–3 days,Early Morning,High,"Improve Health, Build Strength, Reduce Stress",,,,,
1000119,Sebastian,Allen,sebastian.allen1000119@example.com,"Pilates, Cycling, Running",2–3 days,Early Morning,Low,"Training, Build Strength, Improve Health",,,,,
1000120,Logan,Martinez,logan.martinez1000120@example.com,"Yoga, Swimming, Jogging",0–1 days,Mid-Morning,High,"Training, Social, Weight Loss",,,,,
1000121,Liam,Allen,liam.allen1000121@example.com,"Group Fitness Class, Running, Walking",2–3 days,Lunch,Low,"Reduce Stress, Build Strength, Social",,,,,
1000122,Sophia,Rivera,sophia.rivera1000122@example.com,"Running, Cycling, Jogging",4–5 days,Early Morning,Low,"Social, Build Strength, Improve Health",,,,,
1000123,Sofia,Robinson,sofia.robinson1000123@example.com,"Hiking, Yoga, Group Fitness Class",0–1 days,Lunch,Low,"Build Strength, Weight Loss, Improve Health",,,,,
1000124,Henry,Thompson,henry.thompson1000124@example.com,"Group Fitness Class, Running, Cycling",4–5 days,Mid-Morning,Low,"Build Strength, Improve Health, Social",,,,,
1000125,Sophia,Gonzalez,sophia.gonzalez1000125@example.com,"Running, Weight Training, Jogging",4–5 days,Mid-Morning,Medium,"Reduce Stress, Social, Training",,,,,
1000126,Avery,Jackson,avery.jackson1000126@example.com,"Jogging, Swimming, Hiking",4–5 days,Lunch,Medium,"Build Strength, Social, Reduce Stress",,,,,
1000127,Victoria,Brown,victoria.brown1000127@example.com,"Hiking, Yoga, Team Sports",4–5 days,Lunch,Medium,"Social, Build Strength, Training",,,,,
1000128,Wyatt,Jones,wyatt.jones1000128@example.com,"Pilates, Group Fitness Class, Walking",2–3 days,Lunch,High,"Improve Health, Training, Social",,,,,
1000129,Ethan,Rodriguez,ethan.rodriguez1000129@example.com,"Yoga, Walking, Weight Training",2–3 days,Lunch,Low,"Improve Health, Weight Loss, Reduce Stress",,,,,
1000130,Emily,Green,emily.green1000130@example.com,"Weight Training, Jogging, Swimming",4–5 days,Mid-Morning,Medium,"Weight Loss, Social, Build Strength",,,,,
1000131,Elizabeth,Hill,elizabeth.hill1000131@example.com,"Hiking, Weight Training, Group Fitness Class",0–1 days,Mid-Morning,Medium,"Build Strength, Weight Loss, Reduce Stress",,,,,
1000132,Elijah,Lewis,elijah.lewis1000132@example.com,"Running, Cycling, Pilates",4–5 days,Early Morning,Medium,"Improve Health, Weight Loss, Training",,,,,
1000133,Evelyn,Allen,evelyn.allen1000133@example.com,"Cycling, Running, Yoga",4–5 days,Mid-Morning,Medium,"Weight Loss, Reduce Stress, Social",,,,,
1000134,Amelia,Clark,amelia.clark1000134@example.com,"Pilates, Team Sports, Weight Training",4–5 days,Mid-Morning,High,"Social, Improve Health, Training",,,,,
1000135,Ella,Anderson,ella.anderson1000135@example.com,"Cycling, Team Sports, Hiking",2–3 days,Early Morning,Low,"Improve Health, Build Strength, Social",,,,,
1000136,Avery,Adams,avery.adams1000136@example.com,"Weight Training, Jogging, Running",0–1 days,Mid-Morning,High,"Weight Loss, Reduce Stress, Improve Health",,,,,
1000137,Logan,Taylor,logan.taylor1000137@example.com,"Group Fitness Class, Weight Training, Running",0–1 days,Lunch,Medium,"Improve Health, Training, Weight Loss",,,,,
1000138,Elijah,Ramirez,elijah.ramirez1000138@example.com,"Yoga, Swimming, Walking",4–5 days,Early Morning,High,"Weight Loss, Reduce Stress, Improve Health",,,,,
1000139,Emily,Wright,emily.wright1000139@example.com,"Yoga, Running, Weight Training",4–5 days,Early Morning,High,"Training, Improve Health, Build Strength",,,,,
1000140,Aria,Lee,aria.lee1000140@example.com,"Walking, Yoga, Team Sports",4–5 days,Mid-Morning,Medium,"Improve Health, Training, Reduce Stress",,,,,
1000141,Liam,Lewis,liam.lewis1000141@example.com,"Yoga, Group Fitness Class, Swimming",0–1 days,Mid-Morning,Medium,"Build Strength, Reduce Stress, Social",,,,,
1000142,Aria,Perez,aria.perez1000142@example.com,"Jogging, Swimming, Yoga",2–3 days,Early Morning,Low,"Improve Health, Weight Loss, Build Strength",,,,,
1000143,Luna,Taylor,luna.taylor1000143@example.com,"Cycling, Swimming, Weight Training",2–3 days,Mid-Morning,High,"Improve Health, Training, Reduce Stress",,,,,
1000144,Mia,Jones,mia.jones1000144@example.com,"Hiking, Yoga, Jogging",4–5 days,Lunch,Low,"Weight Loss, Build Strength, Training",,,,,
1000145,Michael,Martinez,michael.martinez1000145@example.com,"Cycling, Yoga, Jogging",4–5 days,Mid-Morning,Low,"Weight Loss, Build Strength, Improve Health",,,,,
1000146,Logan,Thomas,logan.thomas1000146@example.com,"Weight Training, Yoga, Cycling",4–5 days,Mid-Morning,Low,"Social, Build Strength, Weight Loss",,,,,
1000147,Olivia,Garcia,olivia.garcia1000147@example.com,"Team Sports, Pilates, Cycling",4–5 days,Lunch,High,"Weight Loss, Improve Health, Reduce Stress",,,,,
1000148,Mila,Ramirez,mila.ramirez1000148@example.com,"Hiking, Swimming, Group Fitness Class",4–5 days,Lunch,Medium,"Build Strength, Improve Health, Training",,,,,
1000149,Logan,Rodriguez,logan.rodriguez1000149@example.com,"Team Sports, Cycling, Weight Training",0–1 days,Lunch,High,"Build Strength, Training, Social",,,,,
1000150,Mia,Lee,mia.lee1000150@example.com,"Weight Training, Hiking, Jogging",2–3 days,Mid-Morning,Low,"Training, Improve Health, Reduce Stress",,,,,
1000151,Scarlett,Rodriguez,scarlett.rodriguez1000151@example.com,"Walking, Pilates, Yoga",2–3 days,Lunch,Low,"Weight Loss, Reduce Stress, Improve Health",,,,,
1000152,Penelope,White,penelope.white1000152@example.com,"Walking, Yoga, Hiking",0–1 days,Early Morning,Low,"Improve Health, Reduce Stress, Social",,,,,
1000153,Wyatt,Moore,wyatt.moore1000153@example.com,"Weight Training, Running, Yoga",0–1 days,Lunch,High,"Social, Build Strength, Improve Health",,,,,
1000154,Isabella,Ramirez,isabella.ramirez1000154@example.com,"Team Sports, Running, Weight Training",2–3 days,Mid-Morning,Low,"Social, Reduce Stress, Weight Loss",,,,,
1000155,Emily,Torres,emily.torres1000155@example.com,"Hiking, Walking, Cycling",4–5 days,Early Morning,Medium,"Reduce Stress, Social, Weight Loss",,,,,
1000156,Mila,Miller,mila.miller1000156@example.com,"Cycling, Jogging, Running",0–1 days,Early Morning,Low,"Reduce Stress, Improve Health, Social",,,,,
1000157,Camila,Roberts,camila.roberts1000157@example.com,"Running, Swimming, Team Sports",0–1 days,Lunch,High,"Improve Health, Weight Loss, Reduce Stress",,,,,
1000158,Logan,Wilson,logan.wilson1000158@example.com,"Weight Training, Group Fitness Class, Pilates",0–1 days,Mid-Morning,Low,"Improve Health, Build Strength, Training",,,,,
1000159,Olivia,Hall,olivia.hall1000159@example.com,"Walking, Team Sports, Swimming",0–1 days,Early Morning,Medium,"Build Strength, Weight Loss, Training",,,,,
1000160,Scarlett,Ramirez,scarlett.ramirez1000160@example.com,"Hiking, Swimming, Yoga",2–3 days,Mid-Morning,Medium,"Training, Build Strength, Reduce Stress",,,,,
1000161,Michael,Torres,michael.torres1000161@example.com,"Group Fitness Class, Weight Training, Cycling",2–3 days,Early Morning,Medium,"Weight Loss, Social, Build Strength",,,,,
1000162,Victoria,Sanchez,victoria.sanchez1000162@example.com,"Cycling, Walking, Yoga",4–5 days,Lunch,Medium,"Weight Loss, Improve Health, Training",,,,,
1000163,David,Baker,david.baker1000163@example.com,"Yoga, Cycling, Weight Training",0–1 days,Lunch,Medium,"Build Strength, Weight Loss, Improve Health",,,,,
1000164,Charlotte,Allen,charlotte.allen1000164@example.com,"Hiking, Group Fitness Class, Team Sports",0–1 days,Early Morning,High,"Build Strength, Social, Weight Loss",,,,,
1000165,Emily,Mitchell,emily.mitchell1000165@example.com,"Walking, Weight Training, Yoga",2–3 days,Lunch,Low,"Training, Improve Health, Weight Loss",,,,,
1000166,Scarlett,Sanchez,scarlett.sanchez1000166@example.com,"Jogging, Weight Training, Walking",2–3 days,Early Morning,Low,"Improve Health, Reduce Stress, Social",,,,,
1000167,Jackson,Wright,jackson.wright1000167@example.com,"Team Sports, Cycling, Weight Training",0–1 days,Lunch,High,"Training, Social, Reduce Stress",,,,,
